Municipio,Departamento,Votos para senado 2014,Porcentaje de Oscar Ivan Zuluaga (1ra vuelta),Total (1ra vuelta),Participacion (1ra vuelta),Ganador (1ra vuelta),Porcentaje de Oscar Ivan Zuluaga (2da vuelta),Total (2da vuelta),Participacion (2da vuelta),Ganador,Censo electoral 2016,Actos terroristas,Amenaza,Desplazamiento,Homicidio,Secuestro,Vinculacion de Ninos y Adolescentes,Minas Antipersonal,Abandono o Despojo de Tierras,Afectado por el conflicto (Pares),Afectado por el conflicto (Pares)2,Votos por el No,Porcentaje No,Votos por el Si,Porcentaje Si,Votos validos,Votos totales,Cuantos salieron a votar,Abstencion,ind ruralidad 2014,Zonas de concentracion,Cultivos ilicitos,Hectareas de coca,Hectareas de amapola
Medellin,Antioquia,430064,0.3848,700732,0.4961,Zuluaga,0.6304,709359,0.5022,Zuluaga,1508418,0.76,8.93,50.46,27.62,0.15,0.06,0.01,0,Ninguno,0,431173,0.6297,253548,0.3703,684721,694784,0.4606,0.5394,0.0124,No,No,0,0
Abejorral,Antioquia,4135,0.6252,4827,0.3231,Zuluaga,0.7854,6748,0.4517,Zuluaga,15274,3.39,25.89,502.84,46.21,3.7,0.05,0.26,0,Ninguno,0,2105,0.6189,1296,0.3811,3401,3647,0.2388,0.7612,0.6576,No,No,0,0
Abriaqui,Antioquia,726,0.4076,709,0.3726,Zuluaga,0.6033,852,0.4477,Zuluaga,1938,3.86,22.17,828.92,154.22,11.08,0,0,0,Ninguno,0,332,0.6092,213,0.3908,545,572,0.2951,0.7049,0.6487,No,No,0,0
Alejandria,Antioquia,1675,0.2919,1720,0.393,Santos,0.4434,2163,0.4942,Santos,4577,8.15,49.49,1810.77,162.74,18.92,0.58,3.2,0,Ninguno,0,696,0.4188,966,0.5812,1662,1735,0.3791,0.6209,0.4809,No,No,0,0
Amaga,Antioquia,5742,0.3336,7407,0.3545,Zuluaga,0.5328,8814,0.4219,Zuluaga,22028,0.6,8.13,62.38,25.39,0.44,0.03,0,0,Ninguno,0,4139,0.6651,2084,0.3349,6223,6370,0.2892,0.7108,0.4362,No,No,0,0
Amalfi,Antioquia,2320,0.4361,3896,0.2499,Zuluaga,0.7478,4738,0.304,Zuluaga,16928,2.29,21.48,361.57,62.42,1.84,0.36,1.84,0,Intermedio,2,2304,0.6375,1310,0.3625,3614,3818,0.2255,0.7745,0.4476,No,Si,28.36,0
Andes,Antioquia,11671,0.5328,11417,0.3468,Zuluaga,0.7527,13716,0.4167,Zuluaga,34842,0.97,7.83,88.19,39.07,1,0.09,0,0,Ninguno,0,5729,0.6421,3193,0.3579,8922,9093,0.261,0.739,0.5084,No,No,0,0
Angelopolis,Antioquia,1776,0.4282,1742,0.3187,Zuluaga,0.6872,2270,0.4153,Zuluaga,5679,0.44,9.14,180.8,31.82,0.99,0,0,0,Ninguno,0,1004,0.6448,553,0.3552,1557,1589,0.2798,0.7202,0.4092,No,No,0,0
Angostura,Antioquia,2080,0.4002,2806,0.3251,Zuluaga,0.6157,3510,0.4066,Zuluaga,9154,3.38,16.73,375.09,54.27,3.65,0.36,1.42,0,Bajo,1,1089,0.607,705,0.393,1794,1935,0.2114,0.7886,0.8389,No,No,0,0
Anori,Antioquia,1308,0.2432,1920,0.188,Santos,0.418,2354,0.2304,Santos,11144,7.22,30.28,824.43,63.4,1.56,1.21,10.69,0,Alto,3,953,0.3508,1764,0.6492,2717,2984,0.2678,0.7322,0.6075,Si,Si,256.05,0
Santa Fe de Antioquia,Antioquia,4734,0.3326,7567,0.4082,Zuluaga,0.5594,8438,0.4552,Zuluaga,19732,0.53,9.34,144.03,38.22,1.54,0,0.2,0,Ninguno,0,3300,0.6179,2041,0.3821,5341,5495,0.2785,0.7215,0.3664,No,No,0,0
Anza,Antioquia,1542,0.5527,1802,0.3386,Zuluaga,0.7368,2394,0.4498,Zuluaga,5715,1.19,12.53,586.81,80.34,2.37,0.4,0,0,Ninguno,0,740,0.6709,363,0.3291,1103,1150,0.2012,0.7988,0.8343,No,No,0,0
Apartado,Antioquia,20033,0.2697,30717,0.3736,Santos,0.3534,37444,0.4555,Santos,89196,2.51,12.34,384.53,49.16,0.84,0.24,0.3,0.6,Bajo,1,12936,0.4768,14195,0.5232,27131,27961,0.3135,0.6865,0.1355,No,Si,8.9,0
Arboletes,Antioquia,7792,0.2729,7800,0.365,Santos,0.3126,10232,0.4788,Santos,21448,0.97,7.62,551.31,20.89,0.95,0.1,0,0,Ninguno,0,1937,0.3442,3691,0.6558,5628,5866,0.2735,0.7265,0.5813,No,No,0,0
Argelia,Antioquia,1854,0.7594,2415,0.3722,Zuluaga,0.8637,2920,0.45,Zuluaga,6627,35.56,108.65,2624.74,168.22,115.18,2.68,7.81,0,Ninguno,0,1351,0.6752,650,0.3248,2001,2065,0.3116,0.6884,0.7073,No,No,0,0
Armenia,Antioquia,1327,0.4273,1416,0.2931,Zuluaga,0.591,1890,0.3912,Zuluaga,4844,1.46,27.49,144.53,62.29,0.49,0,0,0,Ninguno,0,676,0.6919,301,0.3081,977,1026,0.2118,0.7882,0.6281,No,No,0,0
Barbosa,Antioquia,11155,0.3362,14269,0.4019,Zuluaga,0.5425,15639,0.4405,Zuluaga,38541,1,7.48,82.03,49.54,0.75,0.02,0,0,Ninguno,0,8666,0.6736,4200,0.3264,12866,13430,0.3485,0.6515,0.5419,No,No,0,0
Belmira,Antioquia,1791,0.3216,1729,0.3868,Zuluaga,0.5313,1967,0.44,Zuluaga,4807,0.73,8.35,86.77,33.42,1.91,0,0,0,Ninguno,0,897,0.5663,687,0.4337,1584,1617,0.3364,0.6636,0.7164,No,No,0,0
Bello,Antioquia,76954,0.2924,120174,0.4049,Zuluaga,0.5314,124446,0.4193,Zuluaga,318411,0.22,3.09,20.52,21.39,0.11,0.02,0,0,Ninguno,0,76122,0.6356,43642,0.3644,119764,121850,0.3827,0.6173,0.0166,No,No,0,0
Betania,Antioquia,2454,0.6954,2541,0.3083,Zuluaga,0.8248,3304,0.4009,Zuluaga,8372,2.18,43.64,317.37,68.13,1.63,0,0,0,Ninguno,0,1110,0.7043,466,0.2957,1576,1609,0.1922,0.8078,0.5895,No,No,0,0
Betulia,Antioquia,3320,0.6504,4514,0.3529,Zuluaga,0.8069,5603,0.438,Zuluaga,13377,2.22,30.33,1111.61,64.13,3.86,0.62,0.11,0,Ninguno,0,1919,0.6563,1005,0.3437,2924,3023,0.226,0.774,0.6702,No,No,0,0
Ciudad Bolivar,Antioquia,5494,0.48,7834,0.3376,Zuluaga,0.7573,9502,0.4095,Zuluaga,24029,1,12.76,161.63,64.4,1.82,0.19,0.04,0,Ninguno,0,3875,0.7021,1644,0.2979,5519,5636,0.2345,0.7655,0.4042,No,No,0,0
Briceno,Antioquia,1134,0.2945,995,0.171,Zuluaga,0.6447,1216,0.209,Zuluaga,6169,7.48,63.51,806.95,75.82,2.76,0.69,7.25,0,Intermedio,2,604,0.3064,1367,0.6936,1971,2078,0.3368,0.6632,0.7106,No,Si,91.45,0
Buritica,Antioquia,1432,0.3834,1651,0.2568,Zuluaga,0.6022,2114,0.3288,Zuluaga,6829,1.98,43.71,1001.68,36.4,2.74,0.46,0.3,0,Ninguno,0,890,0.6525,474,0.3475,1364,1406,0.2059,0.7941,0.7691,No,No,0,0
Caceres,Antioquia,5279,0.1987,5430,0.2797,Santos,0.3231,7639,0.3934,Santos,19788,3.14,32.2,471.89,33.51,1.06,0.39,1.08,0,Alto,3,1358,0.3514,2506,0.6486,3864,4004,0.2023,0.7977,0.7706,No,Si,420.12,0
Caicedo,Antioquia,1429,0.6209,2263,0.3913,Zuluaga,0.8238,2786,0.4817,Zuluaga,6091,3.26,19.82,370.63,79.52,1.69,0.12,1.09,0,Ninguno,0,921,0.6083,593,0.3917,1514,1600,0.2627,0.7373,0.8021,No,No,0,0
Caldas,Antioquia,15977,0.2446,27069,0.4827,Zuluaga,0.4268,27397,0.4886,Santos,60580,0.46,2.67,19.12,19.12,0.27,0.03,0,0,Ninguno,0,16149,0.6348,9292,0.3652,25441,25961,0.4285,0.5715,0.2137,No,No,0,0
Campamento,Antioquia,1414,0.1852,1409,0.2384,Santos,0.3633,1602,0.271,Santos,6360,23.69,102.82,418.71,102.71,10.74,0.44,5.09,0,Intermedio,2,604,0.4939,619,0.5061,1223,1296,0.2038,0.7962,0.6882,No,Si,25.6,0
Canasgordas,Antioquia,5609,0.4933,6001,0.4712,Zuluaga,0.5997,6878,0.5401,Zuluaga,13402,2.51,24.24,479.2,81.01,3.52,0.24,0.42,0,Ninguno,0,2739,0.589,1911,0.411,4650,4884,0.3644,0.6356,0.6142,No,No,0,0
Caracoli,Antioquia,1308,0.2934,1261,0.2718,Zuluaga,0.5043,1741,0.3753,Zuluaga,4856,1.09,29.77,208.58,47.93,3.94,0,0.22,0,Ninguno,0,593,0.5064,578,0.4936,1171,1199,0.2469,0.7531,0.3429,No,No,0,0
Caramanta,Antioquia,1407,0.4405,2075,0.4036,Zuluaga,0.5431,2530,0.4921,Zuluaga,5231,0.94,17.23,129.96,69.48,0.56,0,0,0,Ninguno,0,790,0.5817,568,0.4183,1358,1417,0.2709,0.7291,0.4564,No,No,0,0
Carepa,Antioquia,9465,0.3196,12736,0.3312,Santos,0.3771,16436,0.4274,Santos,41461,1,16.55,343.99,52.67,1.22,0.21,0.19,0,Bajo,1,6057,0.5321,5327,0.4679,11384,11733,0.283,0.717,0.2388,No,No,0,0
El Carmen de Viboral,Antioquia,11198,0.3216,17189,0.5622,Zuluaga,0.6036,16990,0.5557,Zuluaga,33070,0.89,3.95,190.73,48.08,0.8,0.15,0.27,0,Ninguno,0,10787,0.6612,5528,0.3388,16315,16750,0.5065,0.4935,0.3646,No,No,0,0
Carolina,Antioquia,993,0.2772,1324,0.3282,Zuluaga,0.5268,1401,0.3473,Zuluaga,4081,1.95,9.77,107.17,54.42,2.23,0,0,0,Ninguno,0,641,0.5801,464,0.4199,1105,1150,0.2818,0.7182,0.1944,No,No,0,0
Caucasia,Antioquia,19648,0.236,21201,0.3501,Santos,0.4327,25098,0.4145,Santos,66133,1.06,12.78,183.55,18.19,0.66,0.15,0.13,0.2,Intermedio,2,11495,0.5664,8801,0.4336,20296,20911,0.3162,0.6838,0.1811,No,No,0,0
Chigorodo,Antioquia,10252,0.2373,14234,0.3421,Santos,0.2962,18560,0.446,Santos,44791,1.91,16.72,412.83,67.17,1.1,0.12,0.13,0,Bajo,1,5745,0.4761,6322,0.5239,12067,12392,0.2767,0.7233,0.1291,No,No,0,0
Cisneros,Antioquia,3439,0.2479,3989,0.3585,Santos,0.4824,4646,0.4176,Zuluaga,11434,1.44,5.22,117.14,77.13,1.22,0,0,0,Ninguno,0,1837,0.6289,1084,0.3711,2921,3017,0.2639,0.7361,0.1654,No,No,0,0
Cocorna,Antioquia,4368,0.4844,5533,0.4435,Zuluaga,0.5765,6314,0.5061,Zuluaga,12965,10.22,36.55,2154.91,166.6,16.11,1.54,2.94,0,Ninguno,0,3006,0.646,1647,0.354,4653,4864,0.3752,0.6248,0.7353,No,No,0,0
Concepcion,Antioquia,1345,0.446,1807,0.4059,Zuluaga,0.7165,2074,0.4659,Zuluaga,4409,3.26,22.22,962.37,127.11,5.33,0,0.3,0,Ninguno,0,931,0.6194,572,0.3806,1503,1553,0.3522,0.6478,0.5985,No,No,0,0
Concordia,Antioquia,3896,0.6331,5274,0.3429,Zuluaga,0.7838,6546,0.4256,Zuluaga,16027,1.41,38.95,201.7,42.3,1.7,0.1,0.05,0,Ninguno,0,2081,0.6759,998,0.3241,3079,3184,0.1987,0.8013,0.5869,No,No,0,0
Copacabana,Antioquia,16080,0.2659,24926,0.4406,Zuluaga,0.4705,25395,0.4489,Zuluaga,62062,0.24,1.14,12.47,19.98,0.15,0,0,0,Ninguno,0,15052,0.6122,9535,0.3878,24587,25279,0.4073,0.5927,0.1276,No,No,0,0
Dabeiba,Antioquia,3523,0.3192,3969,0.2502,Santos,0.3862,5784,0.3646,Santos,16986,7.77,96.48,1664.22,123.93,5.24,2.06,5.2,0,Alto,3,1622,0.3531,2971,0.6469,4593,4858,0.286,0.714,0.621,Si,No,0,0
Don Matias,Antioquia,5035,0.5469,6722,0.4242,Zuluaga,0.8102,7209,0.455,Zuluaga,16576,0.44,4.49,23.1,18.57,0.18,0.04,0,0,Ninguno,0,3898,0.7398,1371,0.2602,5269,5381,0.3246,0.6754,0.343,No,No,0,0
Ebejico,Antioquia,3027,0.5173,4015,0.361,Zuluaga,0.7012,5237,0.4709,Zuluaga,11421,0.24,9.91,76.26,26.3,0.56,0.08,0,0,Ninguno,0,1788,0.649,967,0.351,2755,2846,0.2492,0.7508,0.8234,No,No,0,0
El Bagre,Antioquia,9093,0.2663,7265,0.218,Zuluaga,0.5399,9933,0.298,Zuluaga,36056,4.51,37.06,808.09,18.69,0.98,0.98,0.52,0,Alto,3,4056,0.5615,3167,0.4385,7223,7520,0.2086,0.7914,0.474,No,Si,85.34,0
Entrerrios,Antioquia,2057,0.4149,2979,0.3983,Zuluaga,0.6946,3428,0.4583,Zuluaga,7957,0.2,2.28,21.38,12.18,0.3,0,0,0,Ninguno,0,1766,0.6705,868,0.3295,2634,2680,0.3368,0.6632,0.4837,No,No,0,0
Envigado,Antioquia,69145,0.3859,110606,0.4914,Zuluaga,0.6506,107922,0.4794,Zuluaga,232003,0.04,0.51,2.14,6.97,0.06,0,0,0,Ninguno,0,67255,0.6402,37800,0.3598,105055,106988,0.4611,0.5389,0.0359,No,No,0,0
Fredonia,Antioquia,5074,0.3804,5720,0.3241,Zuluaga,0.6342,7015,0.3975,Zuluaga,18196,0.33,2.71,32.53,28.94,0.47,0,0,0,Ninguno,0,3064,0.6428,1703,0.3572,4767,4858,0.267,0.733,0.6043,No,No,0,0
Frontino,Antioquia,2982,0.2384,4043,0.2512,Santos,0.3777,5401,0.3355,Santos,16785,2.82,29.06,955.49,92.94,7.79,0.55,0.37,0,Intermedio,2,1744,0.4481,2148,0.5519,3892,4038,0.2406,0.7594,0.5852,No,No,0,0
Giraldo,Antioquia,1391,0.391,1527,0.4162,Zuluaga,0.5321,1981,0.5399,Zuluaga,3946,1.25,43.4,194.81,56.87,2.24,0,0,0,Ninguno,0,557,0.4554,666,0.5446,1223,1251,0.317,0.683,0.679,No,No,0,0
Girardota,Antioquia,11279,0.218,17939,0.4185,Ramirez,0.3932,18466,0.4308,Santos,47612,0.29,2.13,19.81,20.15,0.11,0.02,0,0,Ninguno,0,10680,0.6369,6088,0.3631,16768,17135,0.3599,0.6401,0.4022,No,No,0,0
Gomez Plata,Antioquia,1953,0.3247,2559,0.3221,Zuluaga,0.5609,2963,0.373,Zuluaga,8404,0.85,6.33,59.55,28,0.15,0.08,0.15,0,Ninguno,0,1328,0.6324,772,0.3676,2100,2192,0.2608,0.7392,0.5381,No,No,0,0
Granada,Antioquia,2093,0.5742,4054,0.4052,Zuluaga,0.7443,4438,0.4435,Zuluaga,10270,22.1,78.25,3517.43,243.16,11.96,0.91,6.99,12.47,Ninguno,0,2120,0.6054,1382,0.3946,3502,3630,0.3535,0.6465,0.6271,No,No,0,0
Guadalupe,Antioquia,1684,0.1365,1648,0.2996,Santos,0.3675,1807,0.3285,Santos,5656,4.28,17.6,206.15,55.82,2.06,0,3.01,0,Ninguno,0,587,0.4512,714,0.5488,1301,1388,0.2454,0.7546,0.6683,No,No,0,0
Guarne,Antioquia,9621,0.3636,15327,0.5286,Zuluaga,0.6686,15853,0.5467,Zuluaga,31687,0.6,2.57,23.98,26.96,0.14,0,0.02,0,Ninguno,0,10604,0.7326,3870,0.2674,14474,14804,0.4672,0.5328,0.6338,No,No,0,0
Guatape,Antioquia,3045,0.3779,3395,0.5546,Zuluaga,0.6169,3508,0.573,Zuluaga,6523,0.38,16.82,374.12,66.34,6.12,0.19,0.38,0,Ninguno,0,1966,0.6148,1232,0.3852,3198,3261,0.4999,0.5001,0.2199,No,No,0,0
Heliconia,Antioquia,1721,0.3035,2178,0.3755,Santos,0.4926,2513,0.4332,Zuluaga,6157,1.37,14.39,325.17,62.19,0.69,0,0,0,Ninguno,0,795,0.5571,632,0.4429,1427,1492,0.2423,0.7577,0.4944,No,No,0,0
Hispania,Antioquia,1844,0.4033,1619,0.3172,Zuluaga,0.5234,2094,0.4103,Zuluaga,5219,0.21,5.95,53.96,50.06,0.21,0.41,0,0,Ninguno,0,654,0.5876,459,0.4124,1113,1142,0.2188,0.7812,0.3394,No,No,0,0
Itagui,Antioquia,67981,0.293,99543,0.4302,Zuluaga,0.4919,103795,0.4486,Zuluaga,245703,0.3,2.49,17.76,24.5,0.1,0.01,0.01,0,Ninguno,0,59627,0.629,35166,0.371,94793,96563,0.393,0.607,0.0857,No,No,0,0
Ituango,Antioquia,2379,0.2362,3243,0.1914,Santos,0.3874,4127,0.2436,Santos,17406,14.01,72.33,1866.54,112.66,4.31,2.96,12.8,0,Intermedio,2,1196,0.3065,2706,0.6935,3902,4157,0.2388,0.7612,0.7263,Si,Si,41.37,0
Jardin,Antioquia,3706,0.4363,5317,0.4647,Zuluaga,0.719,5908,0.5164,Zuluaga,12094,1.1,5.27,89.81,40.3,8.19,0,0.07,0,Ninguno,0,2884,0.6403,1620,0.3597,4504,4594,0.3799,0.6201,0.4804,No,No,0,0
Jerico,Antioquia,3405,0.4716,4277,0.3897,Zuluaga,0.7554,5049,0.46,Zuluaga,11023,0.33,2.08,22.3,15.73,0.33,0,0,0,Ninguno,0,2341,0.7098,957,0.2902,3298,3373,0.306,0.694,0.3099,No,No,0,0
La Ceja,Antioquia,14189,0.3806,23222,0.5639,Zuluaga,0.6358,23318,0.5663,Zuluaga,44306,0.69,2.21,40.1,33.36,0.49,0.09,0,0,Ninguno,0,15589,0.6989,6715,0.3011,22304,22800,0.5146,0.4854,0.1342,No,No,0,0
La Estrella,Antioquia,14904,0.3127,20787,0.4313,Zuluaga,0.5274,21750,0.4513,Zuluaga,50695,0.32,2.62,10.66,16.25,0.17,0,0,0,Ninguno,0,11716,0.6353,6725,0.3647,18441,18723,0.3693,0.6307,0.4415,No,No,0,0
La Pintada,Antioquia,1979,0.5051,2574,0.4213,Zuluaga,0.6678,3043,0.4981,Zuluaga,6588,0.77,22.9,150.76,54.1,1.54,0,0,0,Ninguno,0,1389,0.5773,1017,0.4227,2406,2459,0.3733,0.6267,0.1268,No,No,0,0
La Union,Antioquia,5225,0.4365,7981,0.5218,Zuluaga,0.703,8627,0.5641,Zuluaga,16219,2.03,7.02,426.91,62.41,4.32,0.16,0.52,0,Ninguno,0,4782,0.6521,2551,0.3479,7333,7529,0.4642,0.5358,0.442,No,No,0,0
Liborina,Antioquia,3297,0.4799,3378,0.3817,Zuluaga,0.7025,4117,0.4653,Zuluaga,9204,2.3,65.16,578.36,48.82,2.1,0.42,0.1,0,Ninguno,0,1674,0.6421,933,0.3579,2607,2703,0.2937,0.7063,0.8145,No,No,0,0
Maceo,Antioquia,1916,0.3193,2258,0.3113,Zuluaga,0.5028,2876,0.3965,Zuluaga,7467,5.46,75.72,346.72,98.89,28.34,0.15,0,0,Ninguno,0,1065,0.5782,777,0.4218,1842,1899,0.2543,0.7457,0.586,No,No,0,0
Marinilla,Antioquia,11413,0.4179,18524,0.508,Zuluaga,0.6274,19104,0.5239,Zuluaga,38176,0.85,2.71,71.22,28.11,0.41,0.02,0.02,0,Ninguno,0,11993,0.6863,5481,0.3137,17474,17767,0.4654,0.5346,0.2204,No,No,0,0
Montebello,Antioquia,1426,0.4303,2245,0.3798,Zuluaga,0.6688,2660,0.45,Zuluaga,6043,2.63,21.39,733.59,86.88,3.78,0.49,0.99,0.99,Ninguno,0,776,0.4488,953,0.5512,1729,1827,0.3023,0.6977,0.6822,No,No,0,0
Murindo,Antioquia,661,0.039,615,0.2452,Santos,0.0432,1111,0.443,Santos,2724,2.77,11.3,689.47,16.41,1.49,1.07,0.64,0,Alto,3,44,0.0394,1073,0.9606,1117,1150,0.4222,0.5778,0.7834,No,No,0,0
Mutata,Antioquia,2202,0.2306,3049,0.2533,Santos,0.252,4516,0.3751,Santos,13626,4.46,60.87,2019.88,90.86,4.79,0.52,1.71,6.36,Intermedio,2,1016,0.355,1846,0.645,2862,3030,0.2224,0.7776,0.7323,No,Si,1.18,0
Narino,Antioquia,2851,0.7454,3146,0.3548,Zuluaga,0.8421,3888,0.4385,Zuluaga,9015,11.27,37.57,1082.29,75.49,7.95,0.74,1.77,0,Ninguno,0,1626,0.6741,786,0.3259,2412,2513,0.2788,0.7212,0.8534,No,No,0,0
Necocli,Antioquia,9911,0.2626,9329,0.3036,Santos,0.3184,13270,0.4318,Santos,32486,0.63,10.44,665.73,27.1,1.44,1.28,0,1.13,Ninguno,0,2860,0.3962,4359,0.6038,7219,7475,0.2301,0.7699,0.7533,No,No,0,0
Nechi,Antioquia,5222,0.3971,3755,0.2172,Zuluaga,0.5672,5938,0.3435,Zuluaga,18186,0.99,16.41,466.22,14.58,1.54,0.29,0.18,0,Ninguno,0,1799,0.4815,1937,0.5185,3736,3834,0.2108,0.7892,0.4702,No,Si,128.35,0
Olaya,Antioquia,1127,0.4929,992,0.3583,Zuluaga,0.7345,1288,0.4651,Zuluaga,2719,0.92,16.47,114.09,65.59,1.83,0,0,0,Ninguno,0,449,0.6219,273,0.3781,722,740,0.2722,0.7278,0.9162,No,No,0,0
Penol,Antioquia,4587,0.4353,5683,0.3887,Zuluaga,0.6627,6732,0.4604,Zuluaga,15806,0.69,12.49,359.54,56.41,1.01,0,0.13,0,Ninguno,0,3265,0.6164,2032,0.3836,5297,5415,0.3426,0.6574,0.4298,No,No,0,0
Peque,Antioquia,1986,0.4531,2494,0.4424,Zuluaga,0.503,2795,0.4957,Zuluaga,6089,1.17,20.61,1346.44,67.52,4.34,1.27,1.08,0,Intermedio,2,608,0.2714,1632,0.7286,2240,2331,0.3828,0.6172,0.8149,No,No,0,0
Pueblorrico,Antioquia,1749,0.5448,2434,0.3567,Zuluaga,0.7945,3065,0.4492,Zuluaga,7113,1.74,13.6,201.5,66.98,0.43,0,0,0,Ninguno,0,1138,0.6574,593,0.3426,1731,1787,0.2512,0.7488,0.4875,No,No,0,0
Puerto Berrio,Antioquia,7414,0.3306,9655,0.29,Zuluaga,0.5199,11401,0.3424,Zuluaga,34085,1.84,16.39,159.84,53.38,1.01,0.46,0.1,0,Ninguno,0,6046,0.685,2780,0.315,8826,9028,0.2649,0.7351,0.104,No,No,0,0
Puerto Nare,Antioquia,4055,0.2082,4179,0.3583,Santos,0.273,5147,0.4413,Santos,12202,0.42,9.02,112.44,36.67,0.53,0.11,0,0,Ninguno,0,1600,0.4123,2281,0.5877,3881,3974,0.3257,0.6743,0.5744,No,No,0,0
Puerto Triunfo,Antioquia,4025,0.4871,4652,0.3822,Zuluaga,0.6547,5493,0.4513,Zuluaga,12982,0.44,5.81,89.88,26.41,1.61,0.05,0.05,0,Ninguno,0,2823,0.7371,1007,0.2629,3830,3902,0.3006,0.6994,0.6929,No,No,0,0
Remedios,Antioquia,2084,0.249,3317,0.2088,Zuluaga,0.4884,3720,0.2341,Zuluaga,17020,3.51,25.12,348.28,86.59,2.04,0.7,1,0,Intermedio,2,2229,0.6527,1186,0.3473,3415,3579,0.2103,0.7897,0.6356,Si,Si,3.99,0
Retiro,Antioquia,5634,0.4568,7422,0.5268,Zuluaga,0.6819,8293,0.5886,Zuluaga,15100,0.57,1.19,33.3,28.79,0.52,0,0,0,Ninguno,0,4703,0.6868,2145,0.3132,6848,6951,0.4603,0.5397,0.4819,No,No,0,0
Rionegro,Antioquia,29460,0.3782,47793,0.5478,Zuluaga,0.6325,48385,0.5546,Zuluaga,94806,0.61,1.49,15.23,24.98,0.36,0,0.03,0,Ninguno,0,32596,0.6942,14361,0.3058,46957,47791,0.5041,0.4959,0.3455,No,No,0,0
Sabanalarga,Antioquia,2060,0.5017,2322,0.3454,Zuluaga,0.6964,3103,0.4615,Zuluaga,7052,4.03,59.09,719.08,56.4,2.2,0,0.85,0,Ninguno,0,1501,0.6586,778,0.3414,2279,2364,0.3352,0.6648,0.6478,No,No,0,0
Sabaneta,Antioquia,20917,0.3403,29655,0.547,Zuluaga,0.5526,29981,0.553,Zuluaga,59616,0.08,1.1,5.75,5.63,0.3,0.02,0,0,Ninguno,0,16903,0.6293,9955,0.3707,26858,27182,0.456,0.544,0.2027,No,No,0,0
Salgar,Antioquia,3076,0.6418,3127,0.2405,Zuluaga,0.8415,4871,0.3747,Zuluaga,13483,1.71,51.31,495.07,74.01,2,0.06,0.06,0,Ninguno,0,1621,0.6746,782,0.3254,2403,2474,0.1835,0.8165,0.5053,No,No,0,0
San Andres de Cuerquia,Antioquia,1011,0.4342,1513,0.3112,Zuluaga,0.7102,1808,0.3719,Zuluaga,5184,7.35,66.44,539.01,102.51,3.1,1.31,3.26,0,Intermedio,2,864,0.5503,706,0.4497,1570,1701,0.3281,0.6719,0.6029,No,No,0,0
San Carlos,Antioquia,3556,0.341,5329,0.4176,Santos,0.4621,5964,0.4674,Santos,13944,10.57,40.91,2249.16,220.69,6.78,0.56,7.96,23.37,Ninguno,0,2697,0.5302,2390,0.4698,5087,5242,0.3759,0.6241,0.6233,No,Si,1.44,0
San Francisco,Antioquia,1730,0.4521,1849,0.3108,Zuluaga,0.5004,2370,0.3983,Zuluaga,6140,36.96,72.77,3455.38,233.82,51.32,3.64,17.81,0,Ninguno,0,901,0.5772,660,0.4228,1561,1637,0.2666,0.7334,0.5502,No,Si,29.46,0
San Jeronimo,Antioquia,3622,0.4506,4179,0.3567,Zuluaga,0.6235,4921,0.42,Zuluaga,11911,0.55,3.46,64.29,55.8,0.55,0,0,0,Ninguno,0,2135,0.6289,1260,0.3711,3395,3475,0.2917,0.7083,0.6787,No,No,0,0
San Jose de la Montana,Antioquia,944,0.3498,1378,0.4499,Zuluaga,0.6568,1387,0.4528,Zuluaga,3164,1.19,25.24,272.57,53.44,3.86,0,1.48,0,Ninguno,0,621,0.6311,363,0.3689,984,1032,0.3262,0.6738,0.3403,No,No,0,0
San Juan de Uraba,Antioquia,4933,0.2056,4592,0.294,Santos,0.2168,7218,0.4622,Santos,17433,0.55,11.19,494.82,18.48,0.39,0,0.16,0,Ninguno,0,1365,0.3377,2677,0.6623,4042,4118,0.2362,0.7638,0.6804,No,No,0,0
San Luis,Antioquia,2691,0.4815,3788,0.3741,Zuluaga,0.6718,4613,0.4556,Zuluaga,10748,9.23,30.17,2727.83,151.22,16.73,1.28,7.04,0,Ninguno,0,2681,0.7508,890,0.2492,3571,3644,0.339,0.661,0.5714,No,Si,8.33,0
San Pedro,Antioquia,5216,0.3777,7607,0.4294,Zuluaga,0.7232,8201,0.4629,Zuluaga,18915,0.74,5.21,269.74,23.13,0.41,0.04,0,0,Ninguno,0,5334,0.7434,1841,0.2566,7175,7331,0.3876,0.6124,0.4729,No,No,0,0
San Pedro de Uraba,Antioquia,7057,0.3884,6859,0.2897,Santos,0.442,9568,0.4042,Santos,25244,1.17,10.11,859.19,27.52,1.27,0.25,0.03,0,Ninguno,0,1982,0.4904,2060,0.5096,4042,4146,0.1642,0.8358,0.5529,No,Si,5.28,0
San Rafael,Antioquia,3709,0.349,5000,0.424,Zuluaga,0.5033,5680,0.4816,Zuluaga,12155,8.05,40.02,1944.58,143.19,2.71,0.31,2.71,0,Ninguno,0,2295,0.6117,1457,0.3883,3752,4061,0.3341,0.6659,0.5185,No,No,0,0
San Roque,Antioquia,3902,0.5079,4536,0.3298,Zuluaga,0.6909,5480,0.3985,Zuluaga,14580,3.54,17.34,512.09,68.6,1.8,0.36,0.18,0.24,Ninguno,0,2548,0.5879,1786,0.4121,4334,4466,0.3063,0.6937,0.6294,No,No,0,0
