Municipio,Departamento,Votos para senado 2014,Porcentaje de Oscar Ivan Zuluaga (1ra vuelta),Total (1ra vuelta),Participacion (1ra vuelta),Ganador (1ra vuelta),Porcentaje de Oscar Ivan Zuluaga (2da vuelta),Total (2da vuelta),Participacion (2da vuelta),Ganador,Censo electoral 2016,Actos terroristas,Amenaza,Desplazamiento,Homicidio,Secuestro,Vinculacion de Ninos y Adolescentes,Minas Antipersonal,Abandono o Despojo de Tierras,Afectado por el conflicto (Pares),Afectado por el conflicto (Pares)2,Votos por el No,Porcentaje No,Votos por el Si,Porcentaje Si,Votos validos,Votos totales,Cuantos salieron a votar,Abstencion,ind ruralidad 2014,Zonas de concentracion,Cultivos ilicitos,Hectareas de coca,Hectareas de amapola
Casabianca,Tolima,1831,0.5283,1929,0.405,Zuluaga,0.7431,2445,0.5133,Zuluaga,4940,2.1,21.17,351.3,56.45,0.9,0.15,0,0,Ninguno,0,953,0.5083,922,0.4917,1875,1926,0.3899,0.6101,0.7812,No,No,0,0
Chaparral,Tolima,10351,0.4938,12580,0.3474,Zuluaga,0.6077,15311,0.4229,Zuluaga,38101,3.05,33.12,484.78,46.75,0.87,1.02,2.54,0,Intermedio,2,6694,0.55,5476,0.45,12170,12516,0.3285,0.6715,0.4374,No,Si,0,0.9
Coello,Tolima,2697,0.2586,2776,0.3649,Santos,0.376,3737,0.4913,Santos,7709,0.2,4.28,53.01,4.59,0,0,0,0,Ninguno,0,1157,0.4374,1488,0.5626,2645,2701,0.3504,0.6496,0.8098,No,No,0,0
Coyaima,Tolima,4159,0.2989,5563,0.3352,Santos,0.3709,7964,0.4799,Santos,17192,1.38,43.13,442.28,23.65,0.49,0.07,0,0,Ninguno,0,2081,0.3794,3404,0.6206,5485,5685,0.3307,0.6693,0.8328,No,No,0,0
Cunday,Tolima,2935,0.5588,2910,0.4118,Zuluaga,0.7354,3398,0.4809,Zuluaga,7208,0.93,53.77,643.97,32.39,1.04,0.21,0,0,Bajo,1,1516,0.5851,1075,0.4149,2591,2648,0.3674,0.6326,0.7681,No,No,0,0
Dolores,Tolima,2343,0.6698,2526,0.3922,Zuluaga,0.7482,3113,0.4834,Zuluaga,6729,10.36,49.28,920.9,50.9,1.5,0.87,2.99,0,Ninguno,0,1563,0.585,1109,0.415,2672,2759,0.41,0.59,0.5974,No,No,0,0
Espinal,Tolima,23750,0.3196,24494,0.4392,Zuluaga,0.5127,31024,0.5563,Zuluaga,58148,0.21,1.48,13.76,2.34,0.07,0,0,0,Ninguno,0,14623,0.6355,8388,0.3645,23011,23446,0.4032,0.5968,0.2363,No,No,0,0
Falan,Tolima,2181,0.3991,2473,0.4351,Zuluaga,0.4632,2975,0.5234,Santos,5702,0.65,9.45,220.61,31.81,0.33,0.11,0,0.11,Ninguno,0,995,0.4645,1147,0.5355,2142,2230,0.3911,0.6089,0.8205,No,No,0,0
Flandes,Tolima,5808,0.3578,7021,0.421,Zuluaga,0.5265,8593,0.5153,Zuluaga,17194,0.17,1.23,10.86,2.53,0.27,0.07,0,0,Ninguno,0,4194,0.6386,2373,0.3614,6567,6693,0.3893,0.6107,0.1401,No,No,0,0
Fresno,Tolima,8681,0.4979,9648,0.3797,Zuluaga,0.7559,11861,0.4668,Zuluaga,26101,0.7,8.59,151.7,25.46,0.73,0.07,0,0.07,Ninguno,0,5542,0.6691,2741,0.3309,8283,8566,0.3282,0.6718,0.5112,No,No,0,0
